　会社名　概要　雇用形態　初年度年収
50　株式会社ハマエンジニアリング | 賞与年3回支給★20代で年収450万円超えのも可能／web面接実施中　＼大分・長崎限定採用／ 賞与年3回支給【半導体メンテスタッフ】　正社員　300万円～550万円
51　株式会社ニーズウェル | 〈東証一部上場〉1986年に創業以来、各業種のシステム開発に貢献　■応募〆切 2月24日(水)■【ITエンジニア】受託・自社内開発案件　正社員　400万円～800万円
52　"株式会社スタッフサービス | エンジニアリング事業本部　リクルートグループ"　【研究開発（医薬/バイオ/食品/素材等）】★残業月平均12h　正社員　250万円～350万円
53　株式会社中央情報システムズ | 【 今期最高売上を更新 】名古屋・大阪募集(転勤無)★定着率93％　医療系公共系のシステムなどの【 SE・PG 】★自社内案件多数　正社員　350万円～600万円
54　東建コーポレーション株式会社 | 入社から最短2週間で月給26.3万スタートの上場企業の正社員へ！　安定企業で働ける【営業系総合職】全国募集/未経験歓迎/年齢不問　正社員　300万円～550万円
55　株式会社リクルートスタッフィング | キャリアウィンク★有名企業で働く！今なら入社祝い金4万円あり　20代女性活躍中♪【営業事務】月給制＆賞与年2回★土日祝休み　正社員　300万円～700万円
56　株式会社ミューチュアル・グロース | ★有休取得率高め ★テレワークあり ★外部研修もあり　定着率95％！仕事を楽しめる【ITエンジニア】★残業0～7ｈ以内！　正社員　500万円～1000万円
57　株式会社ライズテック | 年休122日／残業月15h程度／有休取得率74％／最大9連休取得可能　★チームで担当するので安心！【ITエンジニア】◎完全在宅勤務　正社員　300万円～500万円
58　"株式会社スタッフサービス | エンジニアリング事業本部　リクルートグループ"　【CADオペレーター】★勤務地多数 ★年休125日 ★残業月12h　正社員　700万円～800万円
59　株式会社ヒューマンアイズ | 定着率97％｜年間休日120日以上｜同期がいる安心⇒複数名採用！　未経験で月給42万580円～！【フィールドエンジニア】土日祝休　正社員　300万円～600万円
60　株式会社ホライズンソフト | 【30代～40代活躍中！生涯現役が叶う会社】★毎年年収UPの実績！　【SE】40代平均年収926万円/定年無し/賞与最大8ヶ月分　正社員　300万円～800万円
61　株式会社コプロ・エンジニアード | 東証・名証一部上場のコプロ・ホールディングスグループ　CADが好き！を仕事に【 設計アシスタント 】★Web面接も実施中！　正社員　420万円～700万円
